Region;Oil Refinery;Population density;Number of oil fields;Number of oil pipeline facilities;Average Monthly salary;Investments in fixed assets;Labor force;Density of railways;Number of gas stations;Capacity of power plants;Share of chemical industry
Belgorod region;1;57.17;1;1;34615;167367;826;258;275;0.3;0.047
Bryansk region;0;34.17;1;4;29853;63944;595;280;160;0.04;0.068
Vladimir region;0;46.68;0;4;33076;90085;721;316;288;0.7;0.177
Voronezh Region;0;44.52;0;6;33690;298024;1182;229;397;4.6;0.127
Ivanovo region;0;46.59;0;4;27553;37992;517;161;171;0.9;0.069
Kaluga Region;1;33.64;0;0;41442;108251;537;288;155;0.2;0.126
Kostroma region;0;10.52;0;0;31421;26194;310;107;84;3.8;0.082
Kursk region;0;36.8;1;3;32709;144906;569;352;221;4.7;0.222
Lipetsk region;0;47.48;0;5;34312;155038;598;315;212;1.2;0.034
Moscow oblast;0;173.61;0;9;55555;1044870;4189;490;1123;7.3;0.184
Oryol region;1;29.7;0;4;29683;55877;347;241;116;0.4;0.064
Ryazan region;1;28;0;8;34488;69191;535;238;250;3.9;0.26
Smolensk region;1;18.77;0;3;31269;69358;483;226;229;4;0.259
Tambov region;0;29.18;0;9;28697;120579;500;214;191;0.4;0.065
Tver region;1;14.97;0;6;33524;86252;676;215;311;6.9;0.144
Tula region;0;57.05;0;4;38151;177724;793;367;279;1.7;0.208
Yaroslavl region;1;34.62;0;11;36016;90094;650;180;157;2;0.327
Moscow;1;4876.19;0;0;94294;2856935;7308;1921;1122;16.5;0.558
Republic of Karelia;0;3.4;1;4;42964;48159;305;123;118;1.1;0.03
Komi Republic;1;1.97;0;28;53416;114630;428;41;91;3;0.313
Nenets Autonomous Okrug;0;0.25;1;0;88027;95692;23;0;4;0.9;0
Arkhangelsk region;0;2.64;1;7;49435;94040;535;30;158;2.7;0.028
Vologda region;0;8.03;0;16;39116;197130;566;53;176;2.2;0.016
Kaliningrad Region;0;67.05;1;1;35637;103037;537;442;176;1.8;0.05
Leningrad Region;1;22.36;1;16;46387;419126;969;304;358;8.6;0.365
Murmansk region;0;5.12;1;5;63715;171361;421;60;101;3.6;0.017
Novgorod region;0;10.94;0;5;32174;44733;303;210;145;0.5;0.366
Pskov region;0;11.3;1;4;29441;33503;316;197;171;0.5;0.028
Saint Petersburg;0;3855.79;0;0;65872;690722;3073;3082;453;4.6;0.286
Republic of Adygea;1;59.37;1;2;30192;42381;201;205;118;0.05;0.099
Republic of Kalmykia;0;3.63;0;2;28617;16035;133;22;99;0.09;0.159
Republic of Crimea;0;73.28;1;0;32748;199821;918;255;465;1.8;0.207
Krasnodarskiy kray;1;75.17;10;24;36133;439635;2807;297;980;2.8;0.313
Astrakhan region;0;20.53;1;6;36093;95658;507;128;171;1.1;0.648
Volgograd region;1;22.06;1;15;33371;199490;1243;143;425;4.3;0.605
Rostov region;1;41.56;1;17;33757;282970;2097;188;843;7.4;0.244
Sevastopol;0;499.11;0;0;34621;43023;222;0;61;1.7;0.036
Republic of Dagestan;1;61.84;44;5;26835;224773;1382;101;1123;1.9;0.038
Republic of Ingushetia;0;140.86;0;0;27410;23884;259;108;183;1.3;0.295
Kabardino-Balkarian Republic;0;69.47;0;0;27466;44095;446;107;214;0.2;0.028
Karachay-Cherkess Republic;0;32.55;0;0;26955;22586;204;35;142;0.6;0.215
Republic of North Ossetia - Alania;1;87.11;0;1;28751;32832;311;180;232;0.1;0.029
Chechen Republic;0;94.79;0;0;27757;82653;634;195;268;0.4;0.065
